generic_name_cn,generic_name_en,spec,unit,default_usage,is_antibiotic,antibiotic_level,is_toxic_drug,contraindication_tags,cost_price_ref,retail_price_ref,reorder_level,drug_class,otc_type
右美沙芬愈创甘油醚糖浆,Dextromethorphan and Guaifenesin Syrup,100ml,瓶,口服 10ml tid,0,None,0,,8.06,13.00,,呼吸-镇咳,OTC甲
氢溴酸右美沙芬片,Dextromethorphan Hydrobromide Tablets,15mg×24片,盒,口服 15mg tid,0,None,0,,4.96,8.00,,呼吸-镇咳,OTC甲
喷托维林片,Pentoxyverine Tablets,25mg×100片,瓶,口服 25mg tid,0,None,0,,3.72,6.00,,呼吸-镇咳,OTC甲
氨茶碱片,Aminophylline Tablets,0.1g×100片,瓶,口服 0.1g tid,0,None,0,,3.72,6.00,,呼吸-平喘,Rx
沙丁胺醇吸入气雾剂,Salbutamol Aerosol,100μg×200揿,支,吸入 1-2揿 prn,0,None,0,,11.16,18.00,,呼吸-平喘,Rx
茶碱缓释片,Theophylline SR Tablets,0.1g×24片,盒,口服 0.2g bid,0,None,0,,6.20,10.00,,呼吸-平喘,Rx
孟鲁司特钠咀嚼片,Montelukast Sodium Chewable Tablets,5mg×5片,盒,口服 5mg qn,0,None,0,,15.50,25.00,,呼吸-抗过敏,Rx
氯雷他定片,Loratadine Tablets,10mg×6片,盒,口服 10mg qd,0,None,0,,7.44,12.00,20,抗过敏-抗组胺,OTC甲
氯雷他定糖浆,Loratadine Syrup,60ml:60mg,瓶,口服 5ml qd,0,None,0,,9.30,15.00,,抗过敏-抗组胺,OTC甲
西替利嗪片,Cetirizine Tablets,10mg×12片,盒,口服 10mg qd,0,None,0,,6.20,10.00,,抗过敏-抗组胺,OTC甲
马来酸氯苯那敏片,Chlorphenamine Maleate Tablets,4mg×100片,瓶,口服 4mg tid,0,None,0,,1.86,3.00,,抗过敏-抗组胺,OTC甲
盐酸非索非那定片,Fexofenadine Hydrochloride Tablets,60mg×12片,盒,口服 60mg bid,0,None,0,,11.16,18.00,,抗过敏-抗组胺,Rx
复方甲氧那明胶囊,Compound Methoxyphenamine Capsules,60粒,瓶,口服 2粒 tid,0,None,0,,13.64,22.00,,呼吸-平喘复方,Rx
孟鲁司特钠片,Montelukast Sodium Tablets,10mg×5片,盒,口服 10mg qn,0,None,0,,17.36,28.00,,呼吸-抗过敏,Rx
丙卡特罗片,Procaterol Tablets,25μg×20片,盒,口服 25μg bid,0,None,0,,9.92,16.00,,呼吸-平喘,Rx
百咳静糖浆,Baikejing Syrup,100ml,瓶,口服 10ml tid,0,None,0,,7.44,12.00,,中成药-呼吸,OTC甲
奥美拉唑肠溶胶囊,Omeprazole Enteric-coated Capsules,20mg×14粒,盒,口服 20mg qd,0,None,0,,11.16,18.00,15,消化-抑酸,Rx
兰索拉唑肠溶片,Lansoprazole Enteric-coated Tablets,30mg×14片,盒,口服 30mg qd,0,None,0,,12.40,20.00,,消化-抑酸,Rx
雷贝拉唑钠肠溶片,Rabeprazole Sodium Enteric-coated Tablets,10mg×14片,盒,口服 10mg qd,0,None,0,,14.88,24.00,,消化-抑酸,Rx
埃索美拉唑镁肠溶片,Esomeprazole Magnesium Enteric-coated Tablets,20mg×7片,盒,口服 20mg qd,0,None,0,,16.12,26.00,,消化-抑酸,Rx
法莫替丁片,Famotidine Tablets,20mg×24片,盒,口服 20mg bid,0,None,0,,4.96,8.00,,消化-抑酸,OTC甲
西咪替丁片,Cimetidine Tablets,0.2g×100片,瓶,口服 0.2g tid,0,None,0,,4.34,7.00,,消化-抑酸,OTC甲
铝碳酸镁咀嚼片,Hydrotalcite Chewable Tablets,0.5g×20片,盒,嚼服 1g tid,0,None,0,,6.20,10.00,,消化-抗酸,OTC甲
硫糖铝咀嚼片,Sucralfate Chewable Tablets,0.25g×100片,瓶,嚼服 1g tid,0,None,0,,5.58,9.00,,消化-胃黏膜保护,OTC甲
枸橼酸铋钾颗粒,Bismuth Potassium Citrate Granules,0.11g×28袋,盒,口服 1袋 qid,0,None,0,,8.68,14.00,,消化-胃黏膜保护,Rx
复方氢氧化铝片,Compound Aluminium Hydroxide Tablets,100片,瓶,嚼服 2片 tid,0,None,0,,3.72,6.00,,消化-抗酸,OTC甲
多潘立酮片,Domperidone Tablets,10mg×30片,盒,口服 10mg tid,0,None,0,,7.44,12.00,,消化-促动力,Rx
枸橼酸莫沙必利片,Mosapride Citrate Tablets,5mg×24片,盒,口服 5mg tid,0,None,0,,9.30,15.00,,消化-促动力,Rx
盐酸伊托必利片,Itopride Hydrochloride Tablets,50mg×20片,盒,口服 50mg tid,0,None,0,,8.06,13.00,,消化-促动力,Rx
蒙脱石散,Montmorillonite Powder,3g×10袋,盒,口服 3g tid,0,None,0,,7.44,12.00,20,消化-止泻,OTC甲
盐酸洛哌丁胺胶囊,Loperamide Hydrochloride Capsules,2mg×6粒,盒,口服 2mg qd,0,None,0,,4.96,8.00,,消化-止泻,OTC甲
双歧杆菌三联活菌胶囊,Bifid Triple Viable Capsules,0.21g×24粒,盒,口服 0.63g tid,0,None,0,,12.40,20.00,,消化-微生态,OTC甲
枯草杆菌二联活菌颗粒,Combined Bacillus Subtilis Granules,1g×10袋,盒,口服 1g bid,0,None,0,,11.16,18.00,,消化-微生态,OTC甲
乳果糖口服溶液,Lactulose Oral Solution,100ml:66.7g,瓶,口服 15ml qd,0,None,0,,9.92,16.00,,消化-通便,OTC乙
聚乙二醇4000散,Macrogol 4000 Powder,10g×10袋,盒,口服 10g qd,0,None,0,,9.30,15.00,,消化-通便,OTC乙
开塞露,Glycerol Enema,20ml×20支,盒,纳肛 20ml prn,0,None,0,,5.58,9.00,,消化-通便,OTC乙
复方消化酶胶囊,Compound Digestive Enzyme Capsules,20粒,盒,口服 1粒 tid,0,None,0,,11.16,18.00,,消化-助消化,OTC甲
多酶片,Multienzyme Tablets,100片,瓶,口服 2片 tid,0,None,0,,3.10,5.00,,消化-助消化,OTC乙
熊去氧胆酸胶囊,Ursodeoxycholic Acid Capsules,0.25g×24粒,盒,口服 0.25g tid,0,None,0,,18.60,30.00,,消化-肝胆,Rx
水飞蓟宾胶囊,Silibinin Capsules,35mg×30粒,盒,口服 70mg tid,0,None,0,,13.64,22.00,,消化-肝胆,Rx
复方谷氨酰胺肠溶胶囊,Compound Glutamine Enteric Capsules,0.25g×24粒,盒,口服 0.5g tid,0,None,0,,12.40,20.00,,消化-肠道修复,Rx
藿香正气口服液,Huoxiangzhengqi Oral Liquid,10ml×10支,盒,口服 10ml bid,0,None,0,,8.68,14.00,,中成药-消化,OTC甲
健胃消食片,Jianwei Xiaoshi Tablets,0.8g×32片,盒,口服 3片 tid,0,None,0,,4.96,8.00,,中成药-消化,OTC甲
香砂养胃丸,Xiangsha Yangwei Pills,9g×10袋,盒,口服 9g bid,0,None,0,,7.44,12.00,,中成药-消化,OTC甲
三九胃泰颗粒,Sanjiu Weitai Granules,20g×10袋,盒,口服 20g bid,0,None,0,,9.30,15.00,,中成药-消化,OTC甲
硝苯地平缓释片(Ⅰ),Nifedipine SR Tablets(Ⅰ),10mg×30片,盒,口服 10mg bid,0,None,0,,5.58,9.00,,心血管-降压CCB,Rx
硝苯地平控释片,Nifedipine Controlled-release Tablets,30mg×14片,盒,口服 30mg qd,0,None,0,,12.40,20.00,15,心血管-降压CCB,Rx
氨氯地平片,Amlodipine Tablets,5mg×14片,盒,口服 5mg qd,0,None,0,,9.30,15.00,15,心血管-降压CCB,Rx
苯磺酸左氨氯地平片,Levamlodipine Besylate Tablets,2.5mg×14片,盒,口服 2.5mg qd,0,None,0,,11.16,18.00,,心血管-降压CCB,Rx
非洛地平缓释片,Felodipine SR Tablets,5mg×10片,盒,口服 5mg qd,0,None,0,,10.54,17.00,,心血管-降压CCB,Rx
厄贝沙坦片,Irbesartan Tablets,0.15g×14片,盒,口服 0.15g qd,0,None,0,,9.92,16.00,15,心血管-降压ARB,Rx
缬沙坦胶囊,Valsartan Capsules,80mg×14粒,盒,口服 80mg qd,0,None,0,,11.78,19.00,,心血管-降压ARB,Rx
氯沙坦钾片,Losartan Potassium Tablets,50mg×14片,盒,口服 50mg qd,0,None,0,,11.16,18.00,,心血管-降压ARB,Rx
替米沙坦片,Telmisartan Tablets,40mg×14片,盒,口服 40mg qd,0,None,0,,13.02,21.00,,心血管-降压ARB,Rx
培哚普利叔丁胺片,Perindopril tert-Butylamine Tablets,4mg×14片,盒,口服 4mg qd,0,None,0,,14.88,24.00,,心血管-降压ACEI,Rx
贝那普利片,Benazepril Tablets,10mg×14片,盒,口服 10mg qd,0,None,0,,10.54,17.00,,心血管-降压ACEI,Rx
氢氯噻嗪片,Hydrochlorothiazide Tablets,25mg×100片,瓶,口服 25mg qd,0,None,0,,2.17,3.50,,心血管-利尿剂,Rx
呋塞米片,Furosemide Tablets,20mg×100片,瓶,口服 20mg qd,0,None,0,,3.10,5.00,,心血管-利尿剂,Rx
酒石酸美托洛尔片,Metoprolol Tartrate Tablets,25mg×20片,盒,口服 25mg bid,0,None,0,,4.03,6.50,15,心血管-β受体阻滞剂,Rx
琥珀酸美托洛尔缓释片,Metoprolol Succinate SR Tablets,47.5mg×7片,盒,口服 47.5mg qd,0,None,0,,8.68,14.00,,心血管-β受体阻滞剂,Rx
比索洛尔片,Bisoprolol Tablets,5mg×10片,盒,口服 5mg qd,0,None,0,,8.06,13.00,,心血管-β受体阻滞剂,Rx
阿托伐他汀钙片,Atorvastatin Calcium Tablets,20mg×14片,盒,口服 20mg qn,0,None,0,,13.64,22.00,15,心血管-他汀,Rx
瑞舒伐他汀钙片,Rosuvastatin Calcium Tablets,10mg×14片,盒,口服 10mg qn,0,None,0,,16.12,26.00,,心血管-他汀,Rx
辛伐他汀片,Simvastatin Tablets,20mg×14片,盒,口服 20mg qn,0,None,0,,7.44,12.00,,心血管-他汀,Rx
匹伐他汀钙片,Pitavastatin Calcium Tablets,2mg×14片,盒,口服 2mg qn,0,None,0,,17.36,28.00,,心血管-他汀,Rx
非诺贝特胶囊,Fenofibrate Capsules,0.2g×10粒,盒,口服 0.2g qd,0,None,0,,11.16,18.00,,心血管-降脂贝特,Rx
阿司匹林肠溶片,Aspirin Enteric-coated Tablets,100mg×30片,盒,口服 100mg qd,0,None,0,NSAIDs,4.96,8.00,20,心血管-抗血小板,Rx
硫酸氢氯吡格雷片,Clopidogrel Bisulfate Tablets,75mg×14片,盒,口服 75mg qd,0,None,0,,18.60,30.00,,心血管-抗血小板,Rx
华法林钠片,Warfarin Sodium Tablets,2.5mg×60片,瓶,口服 2.5mg qd,0,None,0,,7.44,12.00,,心血管-抗凝,Rx
利伐沙班片,Rivaroxaban Tablets,10mg×14片,盒,口服 10mg qd,0,None,0,,34.10,55.00,,心血管-抗凝,Rx
单硝酸异山梨酯缓释片,Isosorbide Mononitrate SR Tablets,40mg×14片,盒,口服 40mg qd,0,None,0,,12.40,20.00,,心血管-抗心绞痛,Rx
硝酸甘油片,Nitroglycerin Tablets,0.5mg×24片,盒,舌下含服 0.5mg prn,0,None,0,,3.10,5.00,,心血管-抗心绞痛,Rx
复方丹参滴丸,Compound Danshen Dripping Pills,27mg×180丸,盒,口服 10丸 tid,0,None,0,,13.64,22.00,,中成药-心血管,OTC甲
速效救心丸,Suxiao Jiuxin Pills,40mg×60丸×2瓶,盒,含服 4-6丸 prn,0,None,0,,18.60,30.00,,中成药-心血管,OTC甲
稳心颗粒,Wenxin Granules,9g×9袋,盒,口服 9g tid,0,None,0,,15.50,25.00,,中成药-心血管,Rx
地奥心血康胶囊,Diao Xinxuekang Capsules,0.1g×30粒,盒,口服 0.2g tid,0,None,0,,11.16,18.00,,中成药-心血管,Rx
通心络胶囊,Tongxinluo Capsules,0.26g×30粒,盒,口服 2粒 tid,0,None,0,,17.36,28.00,,中成药-心血管,Rx
倍他司汀片,Betahistine Tablets,6mg×30片,盒,口服 6mg tid,0,None,0,,6.20,10.00,,心血管-其他,Rx
曲克芦丁片,Troxerutin Tablets,60mg×100片,瓶,口服 120mg tid,0,None,0,,4.96,8.00,,心血管-其他,Rx
盐酸二甲双胍片,Metformin Hydrochloride Tablets,0.5g×20片,盒,口服 0.5g bid,0,None,0,,4.96,8.00,15,内分泌-降糖,Rx
盐酸二甲双胍缓释片,Metformin Hydrochloride SR Tablets,0.5g×30片,盒,口服 0.5g qd,0,None,0,,7.44,12.00,,内分泌-降糖,Rx
格列美脲片,Glimepiride Tablets,2mg×12片,盒,口服 2mg qd,0,None,0,,9.30,15.00,,内分泌-降糖,Rx
格列齐特缓释片,Gliclazide SR Tablets,30mg×20片,盒,口服 30mg qd,0,None,0,,11.16,18.00,,内分泌-降糖,Rx
阿卡波糖片,Acarbose Tablets,50mg×30片,盒,口服 50mg tid,0,None,0,,12.40,20.00,,内分泌-降糖,Rx
达格列净片,Dapagliflozin Tablets,10mg×14片,盒,口服 10mg qd,0,None,0,,27.90,45.00,,内分泌-降糖SGLT2,Rx
西格列汀片,Sitagliptin Tablets,100mg×14片,盒,口服 100mg qd,0,None,0,,29.76,48.00,,内分泌-降糖DPP4,Rx
左甲状腺素钠片,Levothyroxine Sodium Tablets,50μg×100片,瓶,口服 50μg qd,0,None,0,,9.30,15.00,,内分泌-甲状腺,Rx
甲巯咪唑片,Thiamazole Tablets,5mg×100片,瓶,口服 5mg tid,0,None,0,,5.58,9.00,,内分泌-甲状腺,Rx
碳酸钙D3片,Calcium Carbonate and Vitamin D3 Tablets,600mg×30片,盒,口服 1片 qd,0,None,0,,11.16,18.00,,内分泌-钙剂,OTC甲
阿仑膦酸钠片,Alendronate Sodium Tablets,70mg×4片,盒,口服 70mg qw,0,None,0,,15.50,25.00,,内分泌-抗骨质疏松,Rx
维生素D滴剂,Vitamin D Drops,400IU×30粒,盒,口服 1粒 qd,0,None,0,,13.64,22.00,,内分泌-维生素D,OTC甲
骨化三醇胶丸,Calcitriol Soft Capsules,0.25μg×20粒,盒,口服 0.25μg qd,0,None,0,,21.70,35.00,,内分泌-维生素D,Rx
非布司他片,Febuxostat Tablets,40mg×16片,盒,口服 40mg qd,0,None,0,,18.60,30.00,,内分泌-痛风,Rx
别嘌醇片,Allopurinol Tablets,0.1g×100片,瓶,口服 0.1g bid,0,None,0,,4.96,8.00,,内分泌-痛风,Rx
碳酸氢钠片,Sodium Bicarbonate Tablets,0.5g×100片,瓶,口服 1g tid,0,None,0,,2.48,4.00,,内分泌-痛风碱化,OTC甲
谷维素片,Oryzanol Tablets,10mg×100片,瓶,口服 10mg tid,0,None,0,,3.10,5.00,,神经-植物神经,OTC乙
甲钴胺片,Mecobalamin Tablets,0.5mg×24片,盒,口服 0.5mg tid,0,None,0,,7.44,12.00,,神经-营养神经,Rx
维生素B1片,Vitamin B1 Tablets,10mg×100片,瓶,口服 10mg tid,0,None,0,,1.86,3.00,,神经-维生素B族,OTC乙
维生素B12片,Vitamin B12 Tablets,25μg×100片,瓶,口服 25μg tid,0,None,0,,2.48,4.00,,神经-维生素B族,OTC乙
艾司唑仑片,Estazolam Tablets,1mg×20片,盒,口服 1mg qn,0,None,0,,3.72,6.00,,神经-镇静催眠,Rx
佐匹克隆片,Zopiclone Tablets,7.5mg×7片,盒,口服 7.5mg qn,0,None,0,,11.16,18.00,,神经-镇静催眠,Rx
氟桂利嗪胶囊,Flunarizine Capsules,5mg×20粒,盒,口服 5mg qn,0,None,0,,6.20,10.00,,神经-偏头痛,Rx
尼莫地平片,Nimodipine Tablets,20mg×50片,盒,口服 40mg tid,0,None,0,,9.30,15.00,,神经-脑血管,Rx
吡拉西坦片,Piracetam Tablets,0.4g×100片,瓶,口服 0.8g tid,0,None,0,,6.20,10.00,,神经-脑代谢,Rx
银杏叶片,Ginkgo Leaf Tablets,19.2mg×24片,盒,口服 1片 tid,0,None,0,,9.92,16.00,,中成药-神经,OTC甲
养血清脑颗粒,Yangxue Qingnao Granules,4g×15袋,盒,口服 4g tid,0,None,0,,12.40,20.00,,中成药-神经,Rx
天麻素胶囊,Gastrodin Capsules,50mg×24粒,盒,口服 100mg tid,0,None,0,,8.68,14.00,,中成药-神经,Rx
甲磺酸倍他司汀片,Betahistine Mesylate Tablets,6mg×30片,盒,口服 6mg tid,0,None,0,,6.82,11.00,,神经-前庭,Rx
莫匹罗星软膏,Mupirocin Ointment,10g:0.2g,支,外用 bid,0,None,0,,7.44,12.00,,皮肤-外用抗菌,OTC甲
红霉素软膏,Erythromycin Ointment,10g:0.1g,支,外用 bid,0,None,0,,2.48,4.00,,皮肤-外用抗菌,OTC甲
夫西地酸乳膏,Fusidic Acid Cream,10g:0.2g,支,外用 bid,0,None,0,,11.16,18.00,,皮肤-外用抗菌,Rx
盐酸特比萘芬乳膏,Terbinafine Hydrochloride Cream,10g:0.1g,支,外用 qd,0,None,0,,6.20,10.00,,皮肤-抗真菌,OTC甲
酮康唑乳膏,Ketoconazole Cream,10g:0.2g,支,外用 bid,0,None,0,,4.96,8.00,,皮肤-抗真菌,OTC甲
硝酸咪康唑乳膏,Miconazole Nitrate Cream,20g:0.4g,支,外用 bid,0,None,0,,5.58,9.00,,皮肤-抗真菌,OTC甲
曲安奈德益康唑乳膏,Triamcinolone Acetonide and Econazole Cream,15g,支,外用 bid,0,None,0,,6.82,11.00,,皮肤-复方抗真菌,OTC甲
糠酸莫米松乳膏,Mometasone Furoate Cream,10g:5mg,支,外用 qd,0,None,0,,9.92,16.00,,皮肤-糖皮质激素,OTC甲
丁酸氢化可的松乳膏,Hydrocortisone Butyrate Cream,10g:10mg,支,外用 bid,0,None,0,,8.06,13.00,,皮肤-糖皮质激素,OTC甲
卤米松乳膏,Halometasone Cream,10g:5mg,支,外用 bid,0,None,0,,11.16,18.00,,皮肤-糖皮质激素,Rx
阿昔洛韦乳膏,Aciclovir Cream,10g:0.3g,支,外用 qid,0,None,0,,3.72,6.00,,皮肤-抗病毒,OTC甲
炉甘石洗剂,Calamine Lotion,100ml,瓶,外用 bid,0,None,0,,4.34,7.00,,皮肤-止痒收敛,OTC甲
氯雷他定凝胶,Loratadine Gel,20g,支,外用 qd,0,None,0,,8.68,14.00,,皮肤-抗过敏,OTC甲
维A酸乳膏,Tretinoin Cream,15g:15mg,支,外用 qn,0,None,0,,6.20,10.00,,皮肤-角质调节,Rx
阿达帕林凝胶,Adapalene Gel,30g:0.03g,支,外用 qn,0,None,0,,13.64,22.00,,皮肤-痤疮,Rx
夫西地酸乳膏,Fusidic Acid Cream,15g,支,外用 bid,0,None,0,,12.40,20.00,,皮肤-痤疮,Rx
尿素维E乳膏,Urea and Vitamin E Cream,20g,支,外用 bid,0,None,0,,4.96,8.00,,皮肤-保湿,OTC乙
马应龙麝香痔疮膏,Mayinglong Musk Hemorrhoids Ointment,10g,支,外用 bid,0,None,0,,11.16,18.00,,中成药-皮肤,OTC甲
湿润烧伤膏,Moist Exposed Burn Ointment,40g,支,外用 qd,0,None,0,,15.50,25.00,,中成药-皮肤,OTC甲
云南白药气雾剂,Yunnan Baiyao Aerosol,85g,瓶,外用 bid,0,None,0,,17.36,28.00,,中成药-皮肤,OTC甲
氧氟沙星滴眼液,Ofloxacin Eye Drops,5ml:15mg,支,滴眼 qid,0,None,0,,5.58,9.00,,五官-抗菌眼,Rx
左氧氟沙星滴眼液,Levofloxacin Eye Drops,5ml:24.4mg,支,滴眼 qid,0,None,0,,7.44,12.00,,五官-抗菌眼,Rx
妥布霉素滴眼液,Tobramycin Eye Drops,5ml:15mg,支,滴眼 qid,0,None,0,,6.82,11.00,,五官-抗菌眼,Rx
玻璃酸钠滴眼液,Sodium Hyaluronate Eye Drops,10ml:10mg,支,滴眼 tid,0,None,0,,15.50,25.00,,五官-人工泪液,OTC甲
聚乙烯醇滴眼液,Polyvinyl Alcohol Eye Drops,0.8ml×20支,盒,滴眼 prn,0,None,0,,11.16,18.00,,五官-人工泪液,OTC甲
盐酸羟甲唑啉滴鼻液,Oxymetazoline Hydrochloride Nasal Drops,10ml:5mg,支,滴鼻 bid,0,None,0,,4.96,8.00,,五官-鼻减充血,OTC甲
丙酸氟替卡松鼻喷雾剂,Fluticasone Propionate Nasal Spray,120喷,支,喷鼻 qd,0,None,0,,27.90,45.00,,五官-鼻激素,Rx
糠酸莫米松鼻喷雾剂,Mometasone Furoate Nasal Spray,60揿,支,喷鼻 qd,0,None,0,,29.76,48.00,,五官-鼻激素,Rx
氧氟沙星滴耳液,Ofloxacin Ear Drops,5ml:15mg,支,滴耳 bid,0,None,0,,4.96,8.00,,五官-抗菌耳,Rx
